BOUT_NR;BOUT_BUURT;BOUT_XCOORD;BOUT_YCOORD;BOUT_HOOGTENAP;BOUT_ZAKKINGCUM;BOUT_DATUM;BOUT_BLOKZIJDE;BOUT_EIGENAAR;BOUT_BEVEILIGD;BOUT_DEELRAAD;BOUT_ADRES;BOUT_LOCATIE;BOUT_ZAKSNELH;BOUT_STATUS;BOUT_BLOKNR;BOUT_BLOKEENH;MSLINK;MAPID
"11681023";;124322;486972;1,4032;;"19921222";1;;;"M";"Entrepotbrug 55/117";"In pilaar bij Entrepothaven  ";;"A";"CL83 ";1;4178;18
"12381003";;124014;486075;1,347;26,4;"19870101";1;;;"M";"Celebesstraat 64";"Zijgevel 2e Atjehstraat ";2,00166181969256;"V";"AQ26 ";1;4180;18
"12381004";;124077;486098;1,488;31,5000000000001;"19870101";1;;;"M";"2e Atjehstraat 24";;2,38834648940591;"A";"AQ26 ";1;4181;18
"12381005";;124134;486120;1,43;44,6;"19870101";1;;;"M";"2e Atjehstraat 44";;2,20493024515779;"A";"AQ26 ";1;4182;18
"12381006";;124199;486144;1,511;20,1;"19870101";2;;;"M";"2e Atjehstraat 68";;1,52399252181138;"A";"AQ26 ";2;4183;18
"12381007";;124251;486157;1,552;8,60000000000016;"19870101";6;;;"M";"Sumatrastraat 68";;1,74874651810588;"A";"AQ26 ";6;4184;18
"12381010";;124108;486063;1,471;7,70000000000004;"19870101";5;;;"M";"Riouwstraat 5";;1,5657381615599;"V";"AQ26 ";5;4187;18
"12381011";;124090;486043;1,537;7,49999999999984;"19870101";4;;;"M";"Insulindeweg 23/25";;1,52506963788298;"V";"AQ26 ";4;4188;18
"12381014";;124299;485710;1,5159;-0,99999999999989;"19870101";3;;;"M";"Celebesstraat 126";"Zijgevel Sibogastraat ";-0,374743326488665;"A";"AQ45 ";3;4189;18
"12381015";;124054;486107;1,6239;19,2999999999999;"19870610";2;;;"M";"2e Atjehstraat 13";;1,51559810671255;"A";"AQ25 ";2;4190;18
"12381016";;124088;486120;1,6129;21,8;"19870610";2;;;"M";"2e Atjehstraat 23";;1,7119191049914;"A";"AQ25 ";2;4191;18
"12381017";;124120;486132;1,6059;20;"19870610";2;;;"M";"2e Atjehstraat 41";;1,57056798623064;"A";"AQ25 ";2;4192;18
"12381019";;124185;486168;1,6509;44,3;"19870610";1;;;"M";"1e Atjehstraat 60";;2,49183233163816;"A";"AQ25 ";1;4194;18
"12381022";;124076;486158;1,5949;12,6999999999999;"19870610";1;;;"M";"1e Atjehstraat 28";;2,83516819571864;"A";"AQ25 ";1;4197;18
"12381023";;124048;486153;1,5189;33,0999999999999;"19870610";1;;;"M";"1e Atjehstraat 18";;2,5992900172117;"A";"AQ25 ";1;4198;18
"12381024";;124047;486168;1,8139;10,9000000000001;"19870610";1;;;"M";"1e Atjehstraat 21";;2,43333333333336;"A";"AQ23 ";1;4199;18
"12381026";;124105;486178;1,7759;10,6999999999999;"19870610";1;;;"M";"1e Atjehstraat 41";;2,3886850152905;"A";"AQ23 ";1;4201;18
"12381028";;124161;486182;1,6599;;"19870610";1;;;"M";"1e Atjehstraat 61";;;"A";"AQ23 ";1;4203;18
"12381029";;124194;486183;1,5389;13,7;"19870610";1;;;"M";"1e Atjehstraat 71";;1,06190273943513;"A";"AQ23 ";1;4204;18
"11081263";;119482;486707;0,4076;17;"20000103";1;;;"E";"Bellamystraat 36";;2,69899956502827;"A";"AD27 ";1;2191;19
"11081266";;119543;486822;1,4918;2,29999999999997;"20000103";3;;;"E";"Jan Hanzenstraat 13";;0,365158764680291;"A";"AD28 ";3;2193;19
"11081267";;119518;486810;0,7461;0;"20000103";4;;;"E";"Jan Hanzenstraat 19";;0;"A";"AD28 ";4;2194;19
"25281126";;120722;488588;4,8097;0,399999999999956;"19910927";1;;;"A";"Haarlemmerplein 13";;1,80246913580227;"A";"YH37 ";1;1914;368
"25281127";;120714;488577;4,8157;0,59999999999949;"19910927";3;;;"A";"Haarlemmerplein 13";"Hoek Nieuwe Wagenstraat";2,7037037037014;"A";"YH37 ";3;1915;368
"25281128";;120694;488567;1,9106;0,199999999999978;"19910927";2;;;"A";"Nieuwe Wagenstraat 10";"Hoek Korte Wagenstraat";0,901234567901135;"A";"YH38 ";2;1916;368
