,identificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,hoogte_tov_nap,datum,peilmerknummer,geometrie,publiceerbaar
134,11189009,Kinkerstraat 11/13,(in betonnen kolom),3,Vervallen,2018-02-12,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,14.0,21.0,N,,1.3389,1999-06-01,,POINT (120155.8 486813.6),J
135,11189010,,Da Costakade 183A/195F,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-11.0,10.0,W,,1.0813,1999-06-01,,POINT (120077.4 486680.9),J
136,11189011,Da Costakade 115,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,24.0,ZW,,1.3977,1999-06-01,,POINT (119986.7 486899.4),J
137,11280003,Zuidoostelijke vleugelmuur brug (29) over de Herengracht,tussen Koningsplein en Leidsestraat,1,Actueel,,1,Ronde bout of althans aan de bovenzijde ronde bout zonder opschrift of met opschrift anders dan NAP,-10.0,33.0,N,,2.4026,1952-01-01,11280003,POINT (121039.5 486656.4),J
138,11280004,"Muntplein 12 (Oostelijk gevelvlak ""Munttoren"")",(y=boven voeg gelijk aan plint van vooruitspringend ged.),1,Actueel,,7,"Bijzondere merktekens bijvoorbeeld zeskantige bout, stalen pen etc.",207.0,27.0,NO,,2.9456,1926-01-01,11280004,POINT (121358.0 486689.1),J
139,11280005,Singel 421,"""Universiteitsbibliotheek""",1,Actueel,,7,"Bijzondere merktekens bijvoorbeeld zeskantige bout, stalen pen etc.",-50.0,56.0,ZW,,1.9932,1926-01-01,11280005,POINT (121094.3 486785.7),J
140,11389000,Amstel 200,in de Amstelstraat(def.meting J 414),1,Actueel,,99,Onbekend,-23.0,108.0,,YF12,2.6549,1983-01-15,,POINT (121820.8 486599.3),J
141,11389002,Weesperstraat 61,(ref.punt ZO van def.meting O 306),1,Actueel,,99,Onbekend,479.0,38.0,W,YL04,2.5632,1999-06-01,,POINT (122224.1 486455.8),J
142,11389003,,Nieuwe Kerkstraat 66A/68D,1,Actueel,,99,Onbekend,55.0,26.0,N,YL05,2.2016,1999-06-01,,POINT (122160.9 486347.8),J
143,11389004,'s Gravenlandse Veer 6,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-7.0,9.0,Z,YD36,0.6705,1999-06-01,,POINT (121597.0 486769.4),J
144,11389005,'s Gravenlandse Veer 6,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,33.0,9.0,Z,YD36,0.6248,1999-06-01,,POINT (121591.2 486768.6),J
145,11389006,Jodenbreestraat 152/154,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,50.0,4.0,NO,YG21,2.4206,1999-06-01,,POINT (122024.8 486862.6),J
146,11389007,Jodenbreestraat 152/154,(rechter bouwmuur),3,Vervallen,2005-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-6.0,6.0,NO,YG21,2.4212,1999-06-01,,POINT (122018.7 486866.8),J
147,11389008,Nieuwe Herengracht 14,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,4.0,120.0,N,YL01,1.9425,1999-06-01,,POINT (122055.7 486566.6),J
148,11389009,Nieuwe Herengracht 14,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-14.0,66.0,N,YL01,1.5016,1999-06-01,,POINT (122027.3 486557.2),J
149,11389010,Nieuwe Keizersgracht 67,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-7.0,15.0,ZO,YL02,0.9703,1999-06-01,,POINT (122338.4 486545.1),J
150,11389012,Nieuwe Herengracht 109/111,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,21.0,100.0,ZO,YG32,1.8934,1999-06-01,,POINT (122351.0 486807.4),J
151,11389013,Nieuwe Herengracht 109/111,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-9.0,171.0,ZO,YG32,2.5951,1999-06-01,,POINT (122361.5 486818.3),J
152,11389014,Amstel 216,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,48.0,146.0,O,YF24,2.5071,1999-06-01,,POINT (121862.9 486470.8),J
153,11389015,Amstel 216,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-6.0,43.0,O,YF24,1.6119,1999-06-01,,POINT (121858.0 486486.9),J
154,11389018,Keizersgracht 720,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,23.0,4.0,N,YF33,3.5896,1999-06-01,,POINT (121570.8 486260.2),J
155,11389019,Keizersgracht 720,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-4.0,5.0,N,YF33,1.4806,1999-06-01,,POINT (121565.5 486258.5),J
156,11389020,Kerkstraat 411/413,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,76.0,ZO,YF36,2.2935,1999-06-01,,POINT (121811.9 486255.0),J
157,11389021,Amstel 89,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,11.0,8.0,W,YL05,0.8687,1999-06-01,,POINT (122036.8 486290.1),J
158,11389022,Amstel 89,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-13.0,9.0,W,YL05,0.8434,1999-06-01,,POINT (122038.3 486284.6),J
159,11389023,Lepelkruisstraat 14/24,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,67.0,O,YL09,1.7734,1999-06-01,,POINT (122378.2 486286.5),J
160,11389024,Lepelkruisstraat 14/24,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,16.0,64.0,O,YL09,1.7789,1999-06-01,,POINT (122380.7 486277.7),J
