,meetboutidentificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,geometrie,publiceerbaar
2112,11081286,,Hasebroekstraat 25/27,1,Actueel,,14,Inbusbout,0.0,53.0,N,AD34,POINT (119510.4 486602.9),J
2113,11081287,Hasebroekstraat 35,,1,Actueel,,14,Inbusbout,5.0,89.0,N,AD34,POINT (119489.4 486595.3),J
2114,11081288,Nicolaas Beetsstraat 47,,1,Actueel,,14,Inbusbout,15.0,23.0,W,AD34,POINT (119454.1 486579.3),J
2115,11081289,Kinkerstraat 242,hoek Nicolaas Beetsstraat,1,Actueel,,14,Inbusbout,0.0,13.0,Z,AD34,POINT (119471.5 486539.5),J
2116,11081290,Kinkerstraat 226,,1,Actueel,,14,Inbusbout,4.0,13.0,Z,AD34,POINT (119503.2 486551.4),J
2117,11081291,Kinkerstraat 204,,1,Actueel,,14,Inbusbout,-48.0,90.0,Z,AD34,POINT (119546.7 486568.0),J
2118,11081292,Kinkerstraat 252,,3,Vervallen,2013-05-17,14,Inbusbout,-9.0,15.0,Z,AD33,POINT (119438.2 486526.0),J
2119,11081293,Kinkerstraat 268,,1,Actueel,,14,Inbusbout,13.0,16.0,Z,AD33,POINT (119405.1 486513.3),J
2120,11081294,Kinkerstraat 294,,1,Actueel,,14,Inbusbout,-36.0,15.0,Z,AD33,POINT (119357.7 486495.4),J
2121,11081295,Kinkerstraat 308,,1,Actueel,,14,Inbusbout,-10.0,10.0,Z,AD33,POINT (119330.4 486485.1),J
2122,11081296,Kinkerstraat 320,,1,Actueel,,14,Inbusbout,16.0,8.0,Z,AD33,POINT (119305.0 486475.3),J
2123,11081297,Kinkerstraat 332,hoek Jan Pieter Heijestraat 59,1,Actueel,,14,Inbusbout,16.0,96.0,W,AD33,POINT (119277.0 486471.9),J
2124,11081298,Jan Pieter Heijestraat 53,,1,Actueel,,14,Inbusbout,-7.0,38.0,W,AD33,POINT (119270.6 486485.5),J
2125,11081299,Jan Pieter Heijestraat 52,,1,Actueel,,14,Inbusbout,32.0,26.0,O,AD32,POINT (119254.1 486478.7),J
2126,11081300,Kinkerstraat 334 hoek Jan Pieter Heijestraat,,1,Actueel,,14,Inbusbout,-54.0,12.0,Z,AD32,POINT (119260.7 486458.5),J
2127,11081301,Kinkerstraat 348,,1,Actueel,,14,Inbusbout,-27.0,70.0,Z,AD32,POINT (119231.6 486447.0),J
2128,11081303,Kinkerstraat 372,,1,Actueel,,14,Inbusbout,-5.0,17.0,Z,AD32,POINT (119176.2 486425.8),J
2129,11081304,Kinkerstraat 378/380,,1,Actueel,,14,Inbusbout,0.0,5.0,Z,AD32,POINT (119157.8 486419.2),J
